카테고리 ID,대분류,중분류,소분류
215302, , ,보육시설 서비스 종사원
36, ,법률 전문가 및 법률 사무, 
221100, , ,판사 및 검사
221200, , ,변호사
221300, , ,법무사 및 집행관
221400, , ,변리사
221900, , ,외국 변호사 등 기타 법률 전문가
222000, , ,법률 사무원
222001, , ,"법률 사무원(법원, 로펌, 법무사무소 등)"
222002, , ,특허·저작권 사무원
222003, , ,법무 사무원(일반 기업체)
37, ,사회복지·상담·직업상담·시민단체활동, 
29905, , ,취업 알선원(직업소개소)
231100, , ,사회복지사
231101, , ,사회복지사(사회복지시설)
231102, , ,사회복지사(공공행정)
231103, , ,사회복지프로그램 운영자
231104, , ,방과후 교사 및 지도사
231200, , ,상담 전문가
231201, , ,심리상담 전문가
231202, , ,가족·학교·아동·청소년·노인·중독 등 상담 전문가
231300, , ,청소년 지도사
231400, , ,직업상담사
231500, , ,시민단체 활동가
38, ,보육교사·생활지도원 및 종교직, 
232100, , ,보육 교사
232900, , ,기타 사회복지 종사원
232901, , ,노인 생활지도원
232902, , ,아동 생활지도원
232903, , ,장애인 생활지도원(장애인활동보조원 포함)
232904, , ,그 외 사회복지 종사원
233100, , ,성직자
233900, , ,기타 종교 종사자
39, ,경찰·소방·교도·군인, 
240100, , ,경찰관 및 수사관
240200, , ,소방관
240300, , ,교도관 및 소년원학교 교사
250100, , ,영관급 이상 장교
250200, , ,위관급 장교
250300, , ,부사관
250900, , ,기타 군인
4,보건·의료, , 
41, ,의사·한의사·치과의사, 
301100, , ,전문 의사
301200, , ,일반 의사
301300, , ,한의사
301400, , ,치과 의사
42, ,수의사·약사 및 한약사·간호사·영양사, 
302000, , ,수의사
303000, , ,약사 및 한약사
304000, , ,간호사
304001, , ,전문 간호사
304002, , ,일반 간호사
304003, , ,보건교사
305000, , ,영양사
307500, , ,간호조무사
43, ,의료기사·치료사·재활사, 
306100, , ,임상병리사
306200, , ,방사선사
306300, , ,치과기공사
306400, , ,치과위생사
306500, , ,물리 및 작업 치료사
306501, , ,물리치료사
306502, , ,작업치료사
306600, , ,임상심리사(심리치료사)
306700, , ,재활공학 기사(의지보조기기사)
306900, , ,기타 치료·재활사 및 의료기사
306901, , ,언어·청능 치료사
306902, , ,놀이·음악·미술·독서 등 치료사
306903, , ,운동처방사
44, ,그 외 보건·의료 종사자, 
26302, , ,병원행정 사무원(원무)
29210, , ,병원 코디네이터
307100, , ,"응급구조사(인명구조원, 119구조대원 포함)"
307200, , ,위생사
307300, , ,안경사
307400, , ,의무기록사
307500, , ,간호조무사
307501, , ,간호조무사(요양병원 제외)
307502, , ,요양병원 간호조무사
307600, , ,안마사
307900, , ,기타 보건·의료 종사원
307901, , ,의료 보조원
307902, , ,산후조리 종사원(산모 도우미)
307903, , ,기타 보건·의료 서비스 종사원
550101, , ,간병인(재가 제외)
550102, , ,재가 간병인
550103, , ,시설 요양보호사(노인요양사)
550104, , ,재가 요양보호사
550200, , ,육아 도우미(베이비시터)
5,예술·디자인·방송·스포츠, , 
51, ,"작가, 통·번역 및 출판물 전문가", 
29902, , ,출판·자료 편집 사무원
411100, , ,작가
411200, , ,번역가 및 통역가
411201, , ,번역가(영어)
411202, , ,번역가(중국어)
411203, , ,번역가(일본어)
411204, , ,번역가(기타 언어)
411205, , ,통역가(영어)
411206, , ,통역가(중국어)
411207, , ,통역가(일본어)
411208, , ,통역가(기타 언어)
411209, , ,수화 및 의료 통역가
411300, , ,출판물 전문가
52, ,기자 및 언론 전문가, 
412000, , ,기자 및 언론 전문가
412001, , ,신문·방송 기자
412002, , ,잡지·생활정보지 및 기타 기자
53, ,학예사·사서·기록물관리사, 
413100, , ,학예사 및 문화재 보존원
413101, , ,학예사(큐레이터)
413102, , ,문화재보존원(컨서베이터)
413200, , ,사서 및 기록물 관리사
413201, , ,사서
413202, , ,기록물 관리사(기록물관리전문요원)
54, ,창작·공연 (작가 및 연극 제외), 
214401, , ,미술 강사
214402, , ,음악 강사
214403, , ,무용 강사
414100, , ,화가 및 조각가
414200, , ,사진작가 및 사진사
414300, , ,만화가 및 만화영화 작가
414301, , ,만화가
414302, , ,만화영화 작가(애니메이터)
414400, , ,국악인 및 전통 예능인
414500, , ,"지휘자, 작곡가 및 연주가"
414600, , ,가수 및 성악가
414700, , ,무용가 및 안무가
414900, , ,기타 시각 및 공연 예술가
414901, , ,조련사(공연)·마술사 등 기타 시각 및 공연 예술가
414902, , ,동화구연사
417100, , ,공연·영화·음반 기획자
55, ,디자이너 (미디어콘텐츠 제외), 
159100, , ,제도사
415100, , ,제품 디자이너
415101, , ,기계·자동차·금속 제품 디자이너
415102, , ,조명·전기·전자·통신 기기 디자이너
415103, , ,가구 디자이너
415104, , ,"팬시, 귀금속, 생활잡화 등 기타 제품 디자이너"
415200, , ,패션 디자이너
415201, , ,의상 디자이너
415202, , ,직물(텍스타일) 디자이너
415203, , ,가방·신발·엑세서리 디자이너
415300, , ,실내장식 디자이너
415301, , ,인테리어 디자이너
415302, , ,무대·세트·디스플레이 디자이너
415400, , ,시각 디자이너
415401, , ,광고디자이너
415402, , ,책·인쇄물·출판 디자이너
415403, , ,포장(패키지)디자이너
415404, , ,일러스트레이터·삽화가
415405, , ,색채전문가(컬러리스트)
415406, , ,기타 시각 디자이너
701603, , ,"내장 목공(인테리어 목공 - 나무창호, 주방가구, 싱크대, 인테리어 치장)"
56, ,미디어콘텐츠·UX/UI 디자이너, 
415500, , ,미디어 콘텐츠 디자이너
415501, , ,웹 디자이너
415502, , ,게임 디자이너
415503, , ,그래픽아트 기술자
415504, , ,UX/UI 디자이너
415505, , ,기타 미디어 콘텐츠 디자이너
57, ,연극·영화·방송 (방송기술 포함), 
416100, , ,감독 및 기술감독
416200, , ,배우 및 모델
416301, , ,아나운서 및 리포터
416302, , ,쇼핑호스트
416303, , ,사내(장내) 방송 아나운서
416400, , ,촬영 기사
416500, , ,음향·녹음 기사
416600, , ,영상·녹화 및 편집 기사
416700, , ,조명·영사 기사
416900, , ,기타 연극·영화·방송 종사원
416901, , ,"방송연출 보조(AD, FD)"
416902, , ,"엑스트라,소품·무대의상 관리 등 기타 연극·영화·방송 종사원"
58, ,공연·음반 기획 및 매니저, 
24401, , ,행사·이벤트 기획자
24402, , ,전시·회의 기획자
417100, , ,공연·영화·음반 기획자
59, ,스포츠·레크리에이션, 
417200, , ,연예인매니저 및 스포츠매니저
420100, , ,스포츠 감독 및 코치
420200, , ,직업 운동선수
420300, , ,경기 심판 및 경기 기록원
420400, , ,"스포츠강사, 레크리에이션강사 및 기타 관련 전문가"
420401, , ,태권도·검도·합기도 등 무술사범
420402, , ,수영·골프·테니스·배드민턴·탁구 등 스포츠 강사
420403, , ,헬스 트레이너
420404, , ,"에어로빅, 요가 등 기타 스포츠 강사"
420405, , ,레크리에이션 전문가
420406, , ,"프로모터, 경주마 조련사 등 기타 스프츠 관련 전문가"
420900, , ,기타 스포츠 및 여가서비스 종사원
420901, , ,골프장 캐디
420902, , ,카지노 딜러
420903, , ,응원단원 및 기타 스포츠·오락 관련 도우미
6,미용·여행·숙박·음식·경비·돌봄·청소, , 
61, ,미용 및 반려동물 미용·관리, 
511100, , ,이용사
511200, , ,미용사
511300, , ,피부 및 체형 관리사
511301, , ,피부 및 체형 관리사(발관리사 포함)
511302, , ,네일 아티스트(손톱 관리사)
511303, , ,목욕관리 및 기타 피부미용 종사원
511400, , ,메이크업 아티스트 및 분장사
511401, , ,메이크업아티스트 및 뷰티매니저
511402, , ,분장사·특수분장사
511500, , ,반려동물 미용 및 관리 종사원
511501, , ,반려동물 미용사
511502, , ,반려동물 훈련사(맹인견 조련사 포함)
511503, , ,반려동물 장의사
511504, , ,"수의사 보조원(수의간호, 수의테크니션)"
511900, , ,"기타 미용 관련 서비스종사원(패션코디, 이미지컨설턴트 등)"
62, ,결혼·장례 등 예식 서비스, 
512100, , ,결혼상담원 및 웨딩플래너
512101, , ,결혼 상담원
512102, , ,웨딩 플래너
512200, , ,혼례 종사원
512300, , ,장례 지도사 및 장례 상담원
512400, , ,점술가 및 민속신앙 종사원
512900, , ,"말벗,노년플래너 등 기타 개인 생활 서비스원"
63, ,여행·객실승무·숙박·오락 서비스, 
29103, , ,호텔·콘도·숙박시설 프론트 사무원
420901, , ,골프장 캐디
420902, , ,카지노 딜러
521100, , ,여행상품 개발자
521200, , ,여행 사무원
521300, , ,여행 안내원 및 해설사
521301, , ,관광통역 안내원
521302, , ,여행 안내원
521303, , ,"박물관,미술관,문화,역사,자연환경 등 각종 해설사"
522100, , ,항공기 객실승무원
522200, , ,선박·열차 객실승무원
523000, , ,숙박시설 서비스원
524000, , ,오락시설 서비스원
524001, , ,"오락시설 서비스원(노래방, PC방 등)"
524002, , ,테마파크 서비스원
541905, , ,수학여행 안전요원
64, ,주방장 및 조리사, 
305000, , ,영양사
531100, , ,주방장 및 요리 연구가(푸드코디네이터 포함)
531200, , ,한식 조리사
531201, , ,한식 조리사(일반 음식점)
531202, , ,학교 급식 조리사
531203, , ,유치원·어린이집 급식 조리사
531204, , ,병원 급식 조리사
531205, , ,사업체 구내식당 급식 조리사
531300, , ,중식 조리사
531400, , ,양식 조리사
531500, , ,일식 조리사
531600, , ,바텐터(조주사)
531700, , ,음료 조리사(바리스타 포함)
531900, , ,기타 조리사
531901, , ,분식 조리사
531902, , ,포장마차·주점 조리사
531903, , ,동남아·남미음식 조리사
871100, , ,제과·제빵원
65, ,식당 서비스(음식배달 포함), 
532100, , ,패스트푸드 준비원
532200, , ,홀서빙원
532201, , ,호텔·레스토랑 웨이터·웨이트리스
532202, , ,일반 음식점 서빙원
532203, , ,주점·커피숍 서빙원
532300, , ,주방 보조원
532301, , ,주방 보조원(일반 음식점)
532302, , ,단체 급식 보조원
532400, , ,음식 배달원
532401, , ,음식 배달원
532402, , ,패스트푸드 배달원
532900, , ,기타 음식서비스 종사원(병원 배식원)
872200, , ,김치·밑반찬 제조 종사원
66, ,경호·보안, 
541100, , ,경호원
541200, , ,청원경찰
541300, , ,시설·특수 경비원
541301, , ,기계·무인 경비원(해당 경비지도사 포함)
541302, , ,시설·호송·특수 경비원(해당 경비지도사 포함)
541900, , ,기타 경호·보안 종사원
541901, , ,보안 관제원(경비 관제원)
541902, , ,유통·매장·창고 감시원
541903, , ,주차 단속원 및 안전 순찰원
541904, , ,레저·테마파크 안전요원
